시간,홈,득점,실점,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장,원정,득점,실점 ,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장
2022-12-13 1:30,팰리스,3,1,11,7,61%,8,14,1,15,0,0,에버턴,1,3,7,6,39%,2,16,0,14,2,0
2022-12-15 4:45,노리치,0,2,3,3,49%,7,9,0,12,3,0,아스톤 빌라,2,0,10,7,51%,10,12,0,9,1,0
2022-12-15 5:00,맨시티,7,0,21,13,66%,6,9,1,5,1,0,리즈,0,7,5,3,34%,2,6,0,9,1,0
2022-12-16 4:30,브라이튼,0,1,6,0,58%,7,15,1,11,2,0,울버햄튼,1,0,4,4,42%,4,12,1,14,0,0
2022-12-16 4:30,팰리스,2,2,6,4,53%,4,23,1,16,2,0,사우샘프턴,2,2,8,4,47%,6,17,3,20,4,0
2022-12-16 5:00,아스널,2,0,9,5,61%,5,9,0,8,2,0,웨스트햄,0,2,4,1,39%,2,8,0,9,1,1
2022-12-17 4:45,첼시,1,1,19,10,81%,7,13,0,11,2,0,에버턴,1,1,4,2,19%,1,11,2,11,3,0
2022-12-17 5:00,리버풀,3,1,15,7,74%,11,5,2,9,1,0,뉴캐슬,1,3,4,2,26%,0,11,1,4,3,0
2022-12-19 2:30,리즈,1,4,9,2,44%,1,8,0,11,3,0,아스널,4,1,21,12,56%,4,11,1,7,1,0
2022-12-19 23:00,뉴캐슬,0,4,5,1,27%,3,8,4,9,1,0,맨시티,4,0,14,7,73%,6,13,2,6,2,0
2022-12-19 23:00,울버햄튼,0,0,2,2,38%,4,11,2,9,0,0,첼시,0,0,2,1,62%,9,12,4,7,2,0
2022-12-20 1:30,토트넘,2,2,6,4,43%,6,12,3,12,4,0,리버풀,2,2,11,7,57%,4,15,1,11,4,1
2022-12-27 0:00,맨시티,6,3,11,8,71%,14,8,2,11,1,0,레스터,3,6,11,7,29%,4,13,1,7,2,0
2022-12-27 0:00,노리치,0,5,3,2,36%,3,8,3,12,1,0,아스널,5,0,11,8,64%,4,15,2,6,2,0
2022-12-27 0:00,토트넘,3,0,12,6,59%,4,10,1,16,1,0,팰리스,0,3,3,1,41%,2,17,0,10,2,1
2022-12-27 0:00,웨스트햄,2,3,9,5,54%,10,10,2,10,3,0,사우샘프턴,3,2,6,6,46%,2,12,1,9,3,0
2022-12-27 2:30,아스톤 빌라,1,3,3,2,37%,2,13,2,8,3,0,첼시,3,1,6,4,63%,5,10,2,11,1,0
2022-12-27 5:00,브라이튼,2,0,12,5,51%,6,13,2,9,1,0,브렌트포드,0,2,9,6,49%,9,11,3,10,3,0
2022-12-28 5:00,뉴캐슬,1,1,10,8,29%,2,11,2,11,3,0,맨유,1,1,6,4,71%,3,13,3,8,3,0
2022-12-29 0:00,팰리스,3,0,9,5,48%,8,16,1,9,1,0,노리치,0,3,3,2,52%,8,10,3,13,2,0
